"Pos","Player","Salary","AB","BA","OBP","SLG","RC600","HRF","BBF","XBF","SBF","SB%","KF","3BF","2BF","GDPF","Steal","Jump","BA vs L","OBP vs L","SLG vs L","HRF vs L","BA vs R","OBP vs R","SLG vs R","HRF vs R","PB","C Throw", 
"C","Petway, Bruce S  ","$4,428,000","10172",".248",".298",".322","55.6","181.6","14.9","20.1","98.8",".568","8.15","146.9","26.0","54.7","Av","Av",".249",".297",".329","138.9",".245",".297",".314","216.3","3","Ex",  
"C","Lapp, Jack L  ","$4,411,000","9515",".249",".321",".359","69.6","62.6","10.2","19.3","716.4",".600","8.29","107.5","27.4","46.3","Pr","Pr",".236",".305",".322","90.4",".253",".327",".371","57.1","4","Av",  
"C","Hundley, Todd S  ","$4,348,000","16046",".219",".295",".393","69.2","23.5","10.4","24.2","1058.8",".654","5.06","195.7","31.5","54.4","Fr","Pr",".187",".254",".314","35.4",".229",".308",".416","21.6","4","Fr",  
"C","Iannetta, Chris R  ","$4,328,000","9111",".221",".337",".360","76.1","34.6","6.96","21.7","1807.3",".600","6.36","166.8","30.5","43.2","Pr","Pr",".239",".360",".406","29.0",".193",".301",".296","46.7","3","Av",  
"C","Hogan, Shanty R  ","$4,289,000","12270",".258",".318",".355","65.5","50.9","13.9","27.1","1128.6",".571","8.44","846.4","31.0","36.1","Pr","Pr",".265",".325",".362","52.7",".254",".314",".351","49.9","3","Vg",  
"C","Westrum, Wes R  ","$4,235,000","19705",".207",".334",".320","67.5","38.0","6.39","33.4","622.7",".585","4.56","328.7","45.7","41.5","Av","Pr",".219",".346",".337","35.2",".199",".325",".307","40.5","4","Ex",  
"C","O'Farrell, Bob R  ","$4,225,000","5827",".233",".325",".342","67.6","62.7","8.54","20.4","250.0",".562","6.85","99.2","31.1","41.9","Av","Fr",".229",".326",".339","60.2",".235",".324",".343","64.1","3","Vg",  
"C","Montero, Miguel L  ","$4,224,000","31275",".252",".330",".369","72.6","42.6","9.94","23.3","2725.5",".464","7.61","288.1","29.1","37.5","Pr","Pr",".219",".298",".297","67.4",".256",".335",".379","40.6","3","Av",  
"C","Santiago, Benito R  ","$4,209,000","15456",".245",".291",".365","59.0","45.7","16.6","21.6","298.0",".467","7.06","142.6","28.0","35.1","Fr","Fr",".260",".314",".400","36.9",".234",".273",".337","56.3","4","Vg",  
"C, 1B, 3B","Brenly, Bob R  ","$4,183,000","13374",".238",".316",".378","72.1","36.7","10.1","20.0","213.1",".577","7.23","138.8","27.0","52.3","Fr","Av",".230",".308",".352","51.6",".243",".322",".394","31.5","6","Av",  
"C","Wingo, Ivey L  ","$4,128,000","14230",".241",".298",".359","63.4","53.3","13.3","20.6","82.3",".634","8.95","86.8","31.0","54.3","Av","Av",".212",".253",".292","97.6",".246",".306",".370","49.5","4","Vg",  
"C","Ruiz, Carlos R  ","$4,100,000","5444",".266",".341",".367","75.5","97.2","11.2","16.1","385.3",".727","15.2","154.1","20.6","39.5","Fr","Pr",".289",".379",".407","75.7",".253",".319",".344","115.9","2","Av",  
"C","Castro, Jason L  ","$4,073,000","343",".239",".318",".338","65.3","85.8","9.68","15.6",".000",".000","4.66",".000","17.6","55.3","Fr","Pr",".125",".194",".156",".000",".251",".330",".357","77.8","4","Av",  
"C","Seminick, Andy R  ","$4,048,000","13159",".222",".312",".383","69.5","27.0","9.19","23.8","486.4",".535","4.72","146.4","33.4","34.3","Fr","Fr",".230",".317",".408","24.4",".215",".308",".362","29.6","4","Vg",  
"C","Redmond, Mike R  ","$4,028,000","13689",".277",".329",".326","61.9","855.6","17.6","23.7","2492.5",".429","16.9","393.6","27.7","32.4","Pr","Pr",".298",".354",".356","470.8",".261",".308",".301","2469.0","2","Av",  
"C, 1B","Steinbach, Terry R  ","$4,001,000","8834",".257",".307",".371","64.5","51.1","15.3","20.4","184.6",".598","7.49","154.8","25.9","35.3","Av","Fr",".268",".322",".396","43.9",".246",".292",".347","60.4","3","Vg",  
"C","Hassey, Ron L  ","$4,000,000","8899",".255",".328",".361","70.0","66.9","10.4","18.2","713.9",".583","11.9","178.5","23.1","35.6","Fr","Pr",".232",".290",".277","240.3",".258",".332",".371","61.5","4","Av",  
"C","Wieters, Matt S  ","$3,987,000","14986",".244",".305",".361","64.0","42.8","12.3","23.8","1377.3",".632","8.49","243.1","29.4","39.4","Fr","Pr",".246",".309",".361","46.7",".245",".304",".363","41.2","1","Vg",  
"CF, C, LF, RF","Maloney, Billy L  ","$3,952,000","10270",".235",".296",".340","61.1","62.6","13.5","22.0","17.4",".727","7.90","95.6","32.7","50.6","Vg","Ex",".228",".283",".329","57.3",".238",".301",".345","65.5","5","Av",  
"C","Johnson, Charles R  ","$3,930,000","9537",".228",".310",".377","67.9","30.3","9.47","22.1","1080.7",".588","5.31","257.3","27.7","35.1","Fr","Pr",".241",".323",".399","28.4",".220",".303",".361","31.9","2","Vg",  
"C, 1B","Milligan, Jocko R  ","$3,914,000","8123",".247",".291",".376","63.6","51.4","17.6","15.4","293.0",".732","6.91","175.8","18.5","48.8","Av","Fr",".243",".290",".374","47.1",".248",".293",".376","55.8","3","Av",  
"C","Ramos, Wilson R  ","$3,891,000","6914",".264",".309",".384","65.5","40.7","16.2","24.6","1488.0",".625","10.8","212.6","30.2","27.8","Pr","Pr",".276",".326",".416","32.9",".254",".292",".355","51.3","3","Vg",  
"C","LaValliere, Mike L  ","$3,831,000","13830",".257",".328",".310","61.4","189.5","10.7","29.4","1199.8",".448","13.6","390.0","36.3","40.3","Pr","Pr",".256",".325",".291","530.6",".257",".328",".314","162.9","3","Vg",  
"C","O'Dea, Ken L  ","$3,827,000","6844",".238",".322",".361","70.0","45.6","9.00","20.6","461.4",".739","7.00","137.6","28.4","40.4","Av","Pr",".227",".305",".344","46.3",".240",".326",".364","45.5","5","Vg",  
"C","Stearns, John R  ","$3,825,000","7776",".242",".321",".357","68.4","55.1","10.0","17.8","70.5",".625","9.51","209.9","22.4","39.7","Av","Vg",".257",".340",".382","46.2",".232",".309",".342","62.6","2","Av",  
"C, 1B, LF, RF","Kirkpatrick, Ed L  ","$3,819,000","13802",".231",".312",".364","69.1","38.7","9.85","21.0","339.7",".554","8.13","161.1","27.9","56.4","Fr","Fr",".216",".290",".288","98.8",".235",".316",".375","35.9","4","Fr",  
"C","Ruel, Muddy R  ","$3,792,000","12991",".233",".319",".297","59.1","94.1","9.30","32.7","283.6",".546","8.91","556.7","40.6","52.9","Fr","Fr",".243",".334",".313","86.8",".232",".316",".297","94.0","2","Vg",  
"C","Sundberg, Jim R  ","$3,779,000","8311",".229",".306",".316","57.2","94.4","10.2","21.4","205.7",".529","7.08","145.6","29.2","42.2","Pr","Fr",".230",".306",".318","92.0",".229",".306",".315","95.7","4","Vg",  
"C, 1B","LoDuca, Paul R  ","$3,725,000","11611",".263",".312",".342","61.5","133.5","16.4","20.1","550.6",".622","23.9","150.8","25.7","35.3","Fr","Pr",".273",".324",".370","97.4",".256",".301",".320","212.9","3","Fr",  
"C","Duncan, Frank R  ","$3,696,000","23285",".218",".273",".288","44.4","106.8","14.7","25.5","270.8",".516","8.31","367.5","30.5","54.4","Pr","Fr",".227",".282",".301","89.8",".212",".267",".280","115.9","2","Ex",  
"C, 1B","Vogt, Stephen L  ","$3,684,000","2416",".231",".296",".342","62.1","54.9","11.6","19.8","444.8",".667","8.24","177.9","24.9","92.0","Fr","Pr",".207",".265",".331","48.4",".230",".299",".339","55.8","4","Av",  
"C","Pagliaroni, Jim R  ","$3,672,000","8062",".235",".320",".370","70.9","34.6","9.19","23.1","612.6",".714","5.91","229.7","29.7","41.6","Fr","Pr",".256",".350",".428","25.1",".222",".304",".338","43.2","3","Av",  
"C","Mirabelli, Doug R  ","$3,658,000","13882",".229",".320",".383","73.8","31.3","8.72","19.4","1592.8",".526","5.05","194.2","25.2","45.0","Fr","Pr",".253",".348",".429","27.4",".195",".280",".315","38.4","4","Av",  
"C","Hendricks, Ellie L  ","$3,621,000","14727",".226",".302",".380","69.8","30.5","10.5","20.8","2357.0",".583","7.43","157.1","27.3","67.6","Pr","Pr",".179",".236",".247","79.7",".232",".310",".397","28.2","5","Av",  
"C","Salas, Mark L  ","$3,583,000","20192",".247",".298",".365","64.1","45.3","15.7","23.5","1157.6",".594","10.8","115.2","32.8","51.4","Pr","Pr",".217",".273",".297","65.8",".251",".302",".374","43.3","6","Av",  
"C","McFarland, Ed R  ","$3,558,000","12465",".252",".317",".373","70.3","59.6","11.4","16.8","100.2",".610","7.24","105.5","22.8","48.5","Av","Av",".255",".320",".379","60.2",".251",".316",".368","59.6","5","Fr",  
"C, 1B","Schreckengost, Ossee R  ","$3,523,000","12365",".252",".292",".350","58.5","68.3","18.7","20.4","72.7",".641","8.03","206.8","24.5","46.6","Av","Av",".260",".302",".369","60.1",".247",".285",".337","75.6","3","Av",  
"C","Pratt, Todd R  ","$3,511,000","10254",".249",".339",".375","77.3","45.4","8.69","19.2","655.4",".750","5.25","149.3","25.9","44.0","Pr","Pr",".271",".364",".427","36.3",".224",".309",".311","70.6","4","Fr",  
"C","Zunino, Mike R  ","$3,510,000","4171",".219",".289",".384","64.3","27.1","12.3","21.8","1157.8",".667","3.88","132.3","29.7","46.3","Pr","Pr",".218",".286",".376","28.0",".216",".288",".377","29.6","4","Av",  
"C, 1B, 3B","Leyritz, Jim R  ","$3,484,000","11438",".245",".335",".373","75.5","38.8","9.65","22.9","506.0",".619","5.64","160.4","31.5","41.1","Av","Pr",".243",".337",".375","39.5",".246",".334",".372","38.4","7","Fr",  
"C","Castillo, Welington R  ","$3,443,000","13208",".256",".316",".385","69.6","36.7","13.3","22.7","1211.1",".750","5.80","382.4","26.7","33.6","Fr","Pr",".273",".338",".422","29.6",".242",".297",".353","46.2","4","Av",  
"C","Carrigan, Bill R  ","$3,422,000","9053",".246",".318",".344","65.0","54.2","10.8","24.1","138.9",".575","8.18","596.3","28.3","44.9","Av","Av",".251",".325",".362","45.2",".241",".312",".331","63.8","4","Av",  
"C","Ellis, A.J. R  ","$3,397,000","5110",".234",".327",".317","62.0","98.3","8.63","23.3","845.3",".875","9.20","131.5","34.0","30.8","Pr","Pr",".246",".333",".340","96.3",".225",".321",".297","99.9","3","Av",  
"C","Rodriguez, Ellie R  ","$3,369,000","14482",".246",".340",".313","66.5","160.9","9.26","23.3","373.5",".523","8.90","210.1","31.1","41.6","Fr","Fr",".253",".353",".335","112.1",".241",".332",".299","217.6","4","Vg",  
"C","Dempsey, Rick R  ","$3,359,000","12475",".226",".311",".322","60.0","75.6","9.22","19.7","1297.1",".524","7.25","180.6","25.8","40.6","Av","Pr",".241",".331",".342","88.6",".216",".299",".311","69.0","2","Vg",  
"C","Kennedy, Terry L  ","$3,356,000","14497",".255",".303",".365","63.2","58.0","15.9","18.9","1426.7",".550","6.75","189.1","22.9","40.1","Fr","Pr",".236",".275",".322","58.8",".258",".307",".373","57.9","3","Av",  
"C","Virgil, Ozzie R  ","$3,355,000","9955",".224",".300",".377","63.5","26.3","11.0","28.2","587.6",".792","6.12","293.8","35.4","27.4","Fr","Pr",".217",".295",".347","29.7",".227",".302",".390","25.1","4","Pr",  
"RF, C, 1B, 3B, LF","Moreland, Keith R  ","$3,341,000","19319",".265",".327",".376","70.7","54.7","12.1","20.1","324.0",".471","11.2","172.4","25.6","32.5","Fr","Fr",".282",".345",".413","46.7",".241",".300",".326","71.9","4","Fr",  
"C","Garagiola, Joe L  ","$3,310,000","6366",".231",".322",".347","68.3","53.0","8.78","20.0","562.2",".812","9.06","135.3","27.6","44.3","Fr","Pr",".209",".289",".301","73.5",".237",".329",".358","49.7","4","Av",  
"C","Saltalamacchia, Jarrod S  ","$3,310,000","26748",".231",".307",".375","69.0","33.5","10.0","19.9","2144.6",".609","4.07","261.1","24.4","58.4","Pr","Pr",".211",".278",".335","42.9",".236",".314",".384","32.2","3","Fr",  
"C","Hargrave, Pinky S  ","$3,292,000","18957",".237",".302",".369","65.0","38.1","12.1","21.4","165.2",".694","6.90","187.3","27.1","42.3","Vg","Fr",".249",".314",".392","35.6",".232",".295",".359","38.5","5","Av",  
"C","Slaught, Don R  ","$3,289,000","10488",".262",".318",".367","68.2","72.8","14.1","17.9","462.6",".610","9.43","139.3","22.9","40.7","Av","Pr",".269",".327",".378","67.2",".257",".312",".359","77.3","4","Av",  
"1B, C","Hatteberg, Scott L  ","$3,265,000","14361",".248",".334",".345","70.4","74.0","8.89","19.9","1095.1",".600","14.7","174.8","26.2","38.6","Pr","Pr",".225",".297",".298","81.1",".254",".343",".357","72.4","9","Pr",  
"C","Lampkin, Tom L  ","$3,237,000","17968",".230",".308",".346","64.1","46.8","11.0","22.8","337.5",".582","10.3","137.8","31.6","47.6","Fr","Fr",".174",".234",".205","233.6",".236",".316",".362","42.8","4","Vg",  
"C","Chirinos, Robinson R  ","$3,234,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Fr","Pr","0","0","0","0","0","0","0","0","3","Av",  
"C","Lau, Charlie L  ","$3,220,000","11367",".262",".320",".357","67.5","133.7","12.9","16.0","2084.5",".667","10.5","114.7","20.8","42.8","Fr","Pr",".200",".240",".236","769.0",".272",".332",".376","118.4","5","Fr",  
"C","Ferrell, Rick R  ","$3,194,000","7791",".237",".319",".307","59.8","114.6","9.45","25.1","593.8",".500","10.1","287.3","31.8","44.8","Fr","Pr",".243",".318",".311","116.2",".234",".319",".306","113.8","4","Vg",  
"C","Cervelli, Francisco R  ","$3,141,000","6802",".249",".336",".317","65.0","147.9","9.56","25.3","649.1",".522","8.20","147.0","36.1","37.1","Fr","Pr",".260",".347",".337","121.2",".243",".331",".306","168.4","4","Av",  
"C","Nokes, Matt L  ","$3,138,000","17836",".240",".289",".394","65.1","27.2","16.4","25.9","643.4",".600","8.72","185.6","33.1","38.9","Av","Pr",".218",".262",".335","36.4",".244",".293",".406","26.0","4","Fr",  
"C","Alexander, Gary R  ","$3,108,000","28516",".223",".313",".401","72.7","25.2","8.77","21.9","813.6",".556","3.82","91.7","34.3","35.2","Pr","Pr",".234",".328",".426","23.6",".210",".295",".372","27.0","5","Fr",  
"C","Olivo, Miguel R  ","$3,039,000","36419",".238",".275",".383","59.2","34.2","20.7","21.2","149.2",".602","4.78","100.8","29.1","43.1","Av","Av",".255",".298",".423","29.9",".215",".245",".331","42.0","5","Vg",  
"C","Ross, David R  ","$3,015,000","11045",".226",".309",".371","67.8","32.0","9.35","21.8","4180.7",".375","4.37","216.2","27.9","43.1","Pr","Pr",".234",".320",".385","29.9",".219",".301",".359","34.0","3","Vg",  
"C","Pytlak, Frankie R  ","$3,008,000","3670",".229",".287",".291","47.9","262.1","15.2","25.5","109.0",".552","10.6","98.4","39.2","51.7","Av","Av",".232",".293",".300","180.9",".227",".282",".282","465.2","2","Vg",  
"C","Grace, Earl L  ","$3,001,000","7733",".230",".311",".344","64.1","39.5","9.60","27.4","874.5",".667","9.78","672.7","32.5","43.5","Pr","Pr",".183",".259",".253","70.3",".234",".315",".352","38.0","1","Fr",  
"C, 1B","McGuire, Deacon R  ","$2,998,000","11555",".250",".307",".353","63.2","72.7","13.5","18.1","133.4",".519","7.69","166.7","22.5","50.9","Fr","Av",".261",".324",".379","61.7",".238",".289",".327","85.6","4","Vg",  
"C","Norris, Derek R  ","$2,987,000","6924",".238",".311",".367","67.7","44.4","10.6","18.8","110.9",".729","6.42","136.2","25.0","42.2","Vg","Fr",".255",".333",".405","39.5",".219",".283",".325","49.5","4","Av",  
"C, 1B","Triandos, Gus R  ","$2,972,000","11998",".236",".301",".390","67.9","25.9","12.0","27.3","3329.0",".364","6.26","739.8","31.6","37.8","Pr","Pr",".235",".298",".382","27.8",".237",".304",".396","24.6","6","Vg",  
"C","Eusebio, Tony R  ","$2,971,000","6787",".263",".338",".329","66.0","138.5","10.1","24.8","1908.8",".571","8.31","263.3","31.2","33.3","Pr","Pr",".272",".349",".345","115.1",".248",".319",".304","203.4","2","Av",  
"C","Fosse, Ray R  ","$2,967,000","13128",".250",".294",".335","55.7","99.5","18.0","21.1","288.7",".605","9.02","141.5","27.1","40.1","Fr","Fr",".253",".294",".328","121.1",".251",".296",".343","87.5","4","Vg",  
"C","Sawatski, Carl L  ","$2,961,000","14855",".227",".306",".354","64.8","31.5","9.84","31.6","558.0",".909","6.65","1115.9","36.8","46.0","Av","Pr",".199",".253",".267","62.7",".230",".312",".366","29.6","5","Fr",  
"C","Mueller, Ray R  ","$2,926,000","9250",".232",".290",".355","59.2","44.0","13.8","21.6","275.7",".597","6.42","130.8","29.1","41.5","Av","Fr",".244",".306",".363","49.0",".225",".282",".350","41.6","3","Ex",  
"C","Sasser, Mackey L  ","$2,910,000","9517",".266",".295",".363","60.3","101.2","24.7","16.5","1435.3",".539","16.9","145.6","19.7","37.9","Pr","Pr",".218",".229",".278","201.6",".271",".303",".374","95.6","3","Fr",  
"C","Karkovice, Ron R  ","$2,909,000","12789",".204",".269",".342","54.0","34.8","13.3","22.4","197.1",".643","4.23","166.9","29.2","76.7","Av","Fr",".197",".261",".332","34.8",".208",".272",".348","34.1","3","Ex",  
"C","Mancuso, Gus R  ","$2,904,000","18929",".240",".310",".317","57.9","89.3","11.2","24.0","1015.3",".583","9.66","761.5","28.0","39.0","Fr","Pr",".239",".310",".321","78.6",".240",".309",".313","98.8","3","Vg",  
"C","Macfarlane, Mike R  ","$2,903,000","13667",".233",".300",".375","66.3","38.7","14.2","17.8","948.7",".500","6.58","127.6","23.4","46.6","Fr","Pr",".229",".297",".363","41.3",".237",".304",".384","37.5","5","Av",  
"C","Greene, Joe R  ","$2,902,000","14724",".234",".293",".375","61.8","31.8","12.9","23.0","3226.6",".385","5.79","293.3","27.5","33.0","Pr","Pr",".240",".296",".382","30.5",".230",".292",".369","33.4","5","Vg",  
"C","McCarty, Lew R  ","$2,896,000","9451",".267",".322",".366","70.0","66.6","13.8","21.8","385.3",".458","9.35","123.9","29.7","51.3","Fr","Fr",".283",".338",".401","50.0",".255",".311",".342","86.8","4","Fr",  
"C","Atwell, Toby L  ","$2,876,000","25561",".246",".336",".316","64.5","109.7","8.56","25.4","1226.4",".667","12.0","327.0","32.1","32.8","Fr","Pr",".193",".261",".219","510.0",".253",".346",".330","99.5","5","Fr",  
"C","Clarke, Jay L  ","$2,874,000","13917",".239",".309",".352","64.4","57.0","10.9","18.8","273.4",".606","7.70","152.8","24.4","44.1","Fr","Fr",".226",".291",".332","59.4",".240",".310",".354","55.9","7","Fr",  
"C","Dalrymple, Clay L  ","$2,865,000","10407",".221",".302",".304","55.7","88.2","9.92","24.0","1314.9",".692","9.66","171.5","32.4","50.8","Pr","Pr",".192",".262",".245","170.3",".226",".309",".313","81.5","4","Vg",  
"C","Edwards, Johnny L  ","$2,861,000","6908",".222",".282",".320","53.1","79.4","13.3","19.6","844.7",".409","9.01","128.8","25.9","64.4","Fr","Pr",".222",".276",".305","105.5",".223",".283",".323","75.6","3","Vg",  
"C","Snyder, Chris R  ","$2,828,000","4364",".218",".306",".342","61.5","35.5","8.99","26.0","1663.0","1.00","5.48","831.5","30.8","36.4","Pr","Pr",".228",".322",".373","31.1",".197",".273",".282","48.4","4","Av",  
"C","Berberet, Lou L  ","$2,795,000","10099",".217",".314",".321","60.4","52.3","8.12","27.2","2908.8",".500","6.95","122.5","42.2","36.8","Pr","Pr",".171",".272",".222","117.5",".222",".319",".331","49.5","4","Av",  
"C","Schneider, Brian L  ","$2,786,000","9121",".235",".299",".320","54.9","94.0","12.1","22.0","5052.0",".286","10.3","157.9","28.9","38.1","Pr","Pr",".189",".247",".230","200.8",".242",".306",".331","87.7","2","Vg",  
"SS, C, LF, RF","Rowe, Jack L  ","$2,783,000","8114",".254",".303",".346","61.0","85.4","15.7","21.0","245.9",".667","10.5","113.5","28.7","42.4","Av","Fr",".254",".297",".335","125.4",".254",".305",".350","78.5","4","Av",  
"C","Severeid, Hank R  ","$2,778,000","7518",".245",".298",".314","54.1","112.2","14.8","25.1","295.5",".384","10.6","435.5","29.4","50.8","Fr","Fr",".242",".298",".314","92.3",".246",".299",".314","119.0","4","Vg",  
"C","Grote, Jerry R  ","$2,751,000","12272",".238",".299",".301","51.5","170.4","13.1","24.9","966.1",".500","8.12","198.9","31.9","38.6","Fr","Pr",".241",".294",".303","209.0",".237",".302",".301","154.5","2","Vg",  
"C","Taubensee, Eddie L  ","$2,751,000","18811",".250",".306",".360","65.3","52.4","13.1","21.7","1287.8",".372","6.69","171.7","27.6","56.3","Fr","Pr",".253",".303",".344","62.5",".249",".308",".366","49.3","4","Fr",  
"C","Zimmer, Chief R  ","$2,697,000","5008",".234",".292",".336","55.7","83.5","15.2","17.2","65.3",".636","6.48","144.4","21.6","40.1","Av","Vg",".247",".304",".348","97.2",".221",".279",".319","77.3","3","Vg",  
"C","Wynegar, Butch S  ","$2,688,000","8024",".234",".322",".304","60.3","111.4","8.83","25.2","1155.0",".400","11.8","342.2","31.8","43.4","Pr","Pr",".250",".338",".312","180.3",".225",".314",".297","96.3","3","Av",  
"C, RF","Doumit, Ryan S  ","$2,683,000","15698",".248",".304",".366","62.9","48.8","14.6","19.4","903.6",".760","8.15","214.6","23.6","33.0","Fr","Pr",".239",".292",".353","49.6",".250",".307",".369","48.7","4","Fr",  
"C","Nunamaker, Les R  ","$2,683,000","6823",".251",".307",".347","62.2","84.2","13.7","20.0","82.6",".641","7.83","107.4","27.7","46.7","Av","Av",".254",".313",".353","74.5",".248",".302",".342","92.4","4","Av",  
"C","May, Milt L  ","$2,661,000","8756",".241",".288",".325","53.4","76.8","16.3","25.0","3157.0",".375","11.3","210.5","31.1","44.5","Pr","Pr",".244",".280",".308","106.1",".240",".288",".327","73.1","3","Vg",  
"C, 1B","Gharrity, Patsy R  ","$2,635,000","10248",".232",".295",".352","60.2","48.8","12.5","20.0","156.9",".619","6.23","124.5","27.2","41.8","Av","Av",".242",".306",".373","45.3",".225",".289",".338","51.9","3","Av",  
"C","Molina, Ben R  ","$2,591,000","11110",".259",".300",".375","64.2","43.4","19.1","23.6","1707.7",".636","23.1","234.4","28.5","35.8","Pr","Pr",".270",".316",".401","39.2",".244",".272",".333","55.0","3","Av",  
"C","Olson, Greg R  ","$2,565,000","5749",".250",".329",".344","67.0","91.3","9.70","18.5","593.2",".579","12.9","148.3","24.4","33.5","Av","Pr",".263",".344",".372","74.5",".225",".298",".291","167.6","3","Fr",  
"C, 3B","Petralli, Geno L  ","$2,547,000","9010",".254",".328",".335","64.2","109.9","10.1","20.8","506.1",".741","11.4","224.9","26.0","31.0","Av","Pr",".236",".295",".267","801.0",".256",".331",".341","101.3","9","Av",  
"C","Early, Jake L  ","$2,543,000","16289",".232",".305",".350","65.1","47.2","10.8","20.6","1656.6",".611","6.86","168.7","26.6","65.3","Pr","Pr",".202",".265",".270","115.9",".236",".312",".364","42.6","6","Vg",  
"C","Valle, Dave R  ","$2,539,000","9229",".235",".308",".342","60.5","57.0","12.5","21.0","739.2",".636","9.12","164.3","27.5","31.9","Pr","Pr",".248",".329",".361","55.3",".219",".281",".317","59.5","3","Vg",  
"C","Stinson, Bob S  ","$2,532,000","16722",".242",".328",".335","67.0","67.7","9.32","23.1","533.4",".537","7.93","256.0","29.6","41.9","Fr","Fr",".204",".267",".237","1192.0",".249",".338",".352","58.2","4","Fr",  
"C, 1B","Snyder, Frank R  ","$2,512,000","8367",".244",".300",".347","60.6","59.3","13.4","21.2","368.9",".500","7.13","200.5","26.4","46.1","Fr","Fr",".257",".315",".369","58.9",".238",".293",".338","58.4","3","Vg",  
"C","Brown, Larry S  ","$2,481,000","15751",".231",".281",".300","46.2","201.9","16.0","22.0","258.5",".569","8.91","136.5","28.9","38.8","Pr","Fr",".237",".283",".308","173.9",".229",".280",".296","218.1","3","Ex",  
"C","Boone, Bob R  ","$2,478,000","16550",".230",".286",".300","49.5","129.3","14.1","24.2","372.8",".510","12.3","231.2","30.2","48.6","Fr","Fr",".235",".288",".313","120.2",".227",".285",".292","135.5","2","Vg",  
"C","Flowers, Tyler R  ","$2,468,000","12543",".236",".310",".354","64.7","43.3","12.3","24.1","1758.5",".615","4.23","146.5","33.2","44.5","Pr","Pr",".239",".307",".357","47.6",".235",".311",".353","41.1","5","Av",  
"C","Gibbs, Jake L  ","$2,463,000","9263",".253",".304",".331","58.3","109.0","15.2","22.9","170.6",".578","10.1","165.0","29.3","45.1","Fr","Av",".211",".250",".256","199.5",".257",".309",".338","104.5","2","Vg",  
"C, 1B, 3B, LF","Farrell, Duke S  ","$2,455,000","11397",".237",".292",".340","57.7","75.0","14.2","19.8","75.0",".686","7.86","88.2","28.6","49.4","Av","Av",".250",".304",".362","67.8",".229",".284",".327","79.9","4","Av",  
"C","Laudner, Tim R  ","$2,432,000","37830",".223",".299",".378","65.8","28.9","10.4","20.8","1632.2",".500","4.68","362.7","25.0","41.0","Fr","Pr",".235",".313",".405","25.6",".193",".261",".311","43.6","3","Av",  
"C, LF, RF","Heath, Mike R  ","$2,428,000","11123",".252",".302",".353","61.5","74.7","15.6","19.9","327.0",".536","8.29","99.2","27.7","42.5","Fr","Fr",".270",".321",".388","57.5",".233",".281",".316","108.9","4","Vg",  
"C","Courtney, Clint L  ","$2,415,000","9692",".253",".311",".348","63.8","76.3","15.7","20.3","1063.5",".769","16.3","171.5","25.6","43.1","Pr","Pr",".225",".273",".287","192.8",".256",".315",".355","69.6","4","Fr",  
"C","Lopez, Al R  ","$2,414,000","8300",".240",".301",".319","55.8","79.0","12.4","28.6","356.2",".464","7.55","168.4","39.4","42.1","Fr","Fr",".255",".320",".341","79.6",".228",".287",".301","78.5","3","Vg",  
"C","Ausmus, Brad R  ","$2,367,000","14302",".235",".298",".287","49.3","376.4","12.8","26.8","162.5",".620","8.90","165.9","36.4","42.3","Av","Fr",".249",".313",".310","232.8",".229",".293",".275","1011.3","2","Vg",  
"C, 1B, 3B","Williams, Earl R  ","$2,348,000","16656",".237",".305",".399","69.2","25.6","12.0","24.5","2055.9",".692","5.85","268.2","30.3","31.5","Pr","Pr",".238",".306",".406","23.7",".238",".304",".400","26.3","9","Pr",  
"C, 1B, 3B, LF, RF","Sullivan, Billy Jr L  ","$2,342,000","14222",".248",".299",".333","58.2","92.4","15.5","22.0","202.5",".517","11.4","171.4","28.1","52.2","Fr","Fr",".228",".266",".283","235.5",".252",".305",".343","80.4","3","Av",  
"C","Kreuter, Chad S  ","$2,332,000","7207",".228",".319",".322","61.4","78.3","8.62","20.8","2759.0",".429","5.87","153.3","28.3","36.5","Pr","Pr",".240",".333",".355","57.3",".220",".308",".298","108.3","5","Vg",  
"C","Moran, Pat R  ","$2,314,000","7056",".232",".280",".345","54.8","49.3","17.6","20.6","125.8",".570","7.55","333.7","24.1","48.3","Av","Av",".229",".285",".344","49.3",".234",".276",".346","48.0","4","Vg",  
"C, LF, RF","Moore, Charlie R  ","$2,308,000","12862",".246",".308",".327","59.5","151.3","12.4","19.5","105.0",".574","9.27","111.6","26.9","48.6","Fr","Av",".244",".308",".324","164.7",".247",".308",".329","143.2","5","Vg",  
"C","Hayes, Frankie R  ","$2,305,000","6919",".229",".302",".357","62.5","35.3","10.9","25.0","184.9",".737","5.70","310.6","30.8","36.3","Av","Fr",".241",".315",".385","30.5",".216",".288",".329","42.3","6","Vg",  
"C","Naragon, Hal L  ","$2,304,000","18704",".260",".304",".312","55.3","359.7","17.4","27.9","2016.6",".714","14.6","139.1","38.4","46.6","Pr","Pr",".248",".294",".283",".000",".263",".306",".319","293.6","5","Fr",  
"C","Hernandez, Ramon J. R  ","$2,303,000","4656",".249",".313",".353","64.3","61.3","12.9","20.1","1719.7",".333","11.3","224.3","24.7","37.4","Pr","Pr",".254",".317",".360","61.4",".245",".310",".348","61.1","3","Av",  
