"Pos","Player","Salary","AB","BA","OBP","SLG","RC600","HRF","BBF","Run","PA","OPS vs L","OPS vs R","BatPlat","FLD:C","FLD:1B","FLD:2B","FLD:3B","FLD:SS","FLD:LF","FLD:CF","FLD:RF","OF Throw","Jump","Injury","OBP vs L","OBP vs R", 
"RF, LF, CF","Burnitz, Jeromy L  ","$5,769,000","22813",".233",".312",".422","79.0","22.8","10.2","Av","25715",".672",".765","2","","","","","","Av/130","Fr/130","Av/130","Av","Fr","Normal",".291",".323",  
"RF, 1B, 3B","Cuddyer, Michael R  ","$5,762,000","23295",".264",".329",".411","78.8","39.8","11.3","Vg","25907",".822",".687","-2","","Av/101","","Av/126","","","","Fr/110","Vg","Fr","Prone",".359",".309",  
"C","Danning, Harry R  ","$5,757,000","18168",".269",".312",".376","66.3","76.7","17.6","Fr","19614",".724",".670","-2","Av/75","","","","","","","","&nbsp;","Fr","Normal",".331",".302",  
"RF, LF, CF","Walker, Dixie L  ","$5,755,000","14273",".269",".333",".395","79.8","60.2","11.5","Av","15964",".690",".743","2","","","","","","Av/112","Av/112","Av/112","Av","Fr","Prone",".317",".339",  
"1B","Kuhel, Joe L  ","$5,753,000","17518",".248",".323",".365","71.5","55.3","10.2","Vg","19798",".647",".707","1","","Vg/89","","","","","","","&nbsp;","Av","Normal",".312",".328",  
"RF, LF, CF","Valentine, Ellis R  ","$5,749,000","13290",".270",".318",".435","79.0","28.3","15.3","Av","14404",".847",".680","-3","","","","","","Av/134","Pr/134","Av/134","Ex","Av","Prone",".353",".291",  
"LF, CF","Bescher, Bob S  ","$5,746,000","19611",".246",".336",".369","77.7","54.2","8.64","Ex","22521",".666",".726","0","","","","","","Vg/100","Av/100","","Fr","Ex","Normal",".323",".342",  
"1B, 2B, 3B, RF","Hickman, Charlie R  ","$5,745,000","22115",".278",".320",".439","81.5","38.9","18.8","Fr","23906",".781",".747","-1","","Av/171","Fr/160","Av/149","","","","Fr/146","Av","Av","Normal",".329",".315",  
"1B","Pipp, Wally L  ","$5,745,000","13381",".257",".313",".380","69.7","55.1","13.3","Vg","14801",".647",".717","1","","Vg/78","","","","","","","&nbsp;","Av","Normal",".302",".318",  
"C","Bailey, Ed L  ","$5,742,000","17525",".247",".339",".384","80.3","34.6","8.33","Fr","20265",".623",".746","3","Av/103","","","","","","","","&nbsp;","Pr","Prone",".308",".346",  
"3B, SS","Lobert, Hans R  ","$5,742,000","23038",".263",".321",".374","73.4","60.2","13.1","Ex","25666",".729",".678","-1","","","","Fr/85","Fr/97","","","","&nbsp;","Ex","Prone",".338",".312",  
"1B","O'Neil, Buck R  ","$5,737,000","9818",".270",".304",".362","63.3","119.7","21.2","Av","10520",".685",".649","-1","","Ex/80","","","","","","","&nbsp;","Fr","Normal",".308",".298",  
"3B, 1B, 2B, LF","Prado, Martin R  ","$5,724,000","10102",".273",".325",".362","68.2","108.6","13.8","Vg","11029",".715",".673","-2","","Av/48","Av/118","Av/72","","Av/118","","","Vg","Fr","Prone",".344",".316",  
"RF, LF, CF","Northrup, Jim L  ","$5,721,000","17521",".267",".327",".407","77.2","44.9","12.6","Av","19334",".653",".767","2","","","","","","Av/99","Fr/99","Av/99","Av","Fr","Normal",".296",".339",  
"LF","Zernial, Gus R  ","$5,713,000","24988",".246",".301",".443","77.0","20.2","14.1","Fr","27276",".795",".716","-1","","","","","","Av/157","","","Fr","Pr","Normal",".321",".289",  
"1B","Thompson, Jason L  ","$5,712,000","16914",".243",".345",".396","83.8","28.0","7.44","Pr","19773",".608",".780","3","","Av/94","","","","","","","&nbsp;","Pr","Normal",".309",".355",  
"CF, LF","Rowand, Aaron R  ","$5,706,000","15104",".258",".315",".385","70.2","46.8","17.1","Vg","16687",".775",".653","-1","","","","","","Vg/70","Vg/70","","Av","Av","Normal",".346",".294",  
"LF, RF","Maxwell, Charlie L  ","$5,694,000","14211",".242",".325",".379","77.1","34.9","9.30","Av","16161",".688",".716","3","","","","","","Av/60","","Av/60","Fr","Pr","Normal",".315",".331",  
"CF, LF, RF","Landis, Jim R  ","$5,693,000","19281",".239",".328",".344","71.9","71.4","9.24","Vg","22237",".673",".672","-1","","","","","","Vg/53","Vg/53","Vg/53","Av","Av","Normal",".329",".328",  
"LF, CF, RF","Miller, Ward L  ","$5,693,000","16664",".256",".345",".349","74.7","70.6","8.83","Av","19247",".655",".718","1","","","","","","Av/103","Av/103","Av/103","Av","Av","Normal",".331",".354",  
"SS, 2B, 3B","Uribe, Juan R  ","$5,693,000","17456",".251",".298",".372","63.6","49.6","16.2","Vg","18939",".687",".660","0","","","Vg/54","Vg/69","Av/87","","","","&nbsp;","Fr","Prone",".303",".295",  
"LF, RF","Scott, Luke L  ","$5,689,000","14397",".255",".325",".426","83.3","30.3","10.8","Fr","16087",".698",".771","2","","","","","","Av/77","","Av/77","Fr","Pr","Fragile",".309",".331",  
"SS, 2B, 3B, LF, CF, RF","Held, Woodie R  ","$5,686,000","33101",".239",".318",".399","75.5","28.7","10.3","Av","37469",".759",".696","0","","","Fr/119","Fr/80","Fr/98","Fr/88","Fr/88","Fr/88","Av","Pr","Normal",".334",".309",  
"2B, 3B, SS, LF","Velarde, Randy R  ","$5,685,000","22856",".259",".330",".353","68.9","79.4","10.9","Av","25566",".706",".669","-1","","","Vg/100","Vg/132","Av/129","Av/225","","","Av","Fr","Prone",".340",".324",  
"C","Hershberger, Willard R  ","$5,684,000","16491",".294",".338",".368","72.2","123.1","19.5","Fr","17901",".608",".734","3","Av/104","","","","","","","","&nbsp;","Pr","Prone",".303",".348",  
"CF, LF","Lyons, Jimmie L  ","$5,681,000","11452",".266",".307",".341","63.2","249.0","18.1","Ex","12336",".636",".655","1","","","","","","Vg/90","Vg/90","","Av","Ex","Normal",".302",".309",  
"LF","Vaughn, Greg R  ","$5,680,000","17133",".234",".318",".440","84.3","19.9","9.23","Vg","19474",".787",".746","-1","","","","","","Av/75","","","Av","Av","Prone",".325",".315",  
"2B, 1B, 3B, SS","Gyorko, Jedd R  ","$5,677,000","11960",".243",".308",".389","69.0","30.0","11.6","Fr","13250",".788",".651","-2","","Av/91","Av/80","Vg/102","Av/151","","","","&nbsp;","Pr","Prone",".343",".290",  
"2B, 1B, SS","Runnels, Pete L  ","$5,676,000","22654",".257",".330",".328","65.9","184.2","10.3","Av","25518",".602",".686","2","","Av/55","Av/86","","Fr/121","","","","&nbsp;","Fr","Normal",".310",".341",  
"CF, LF, RF","Pearson, Albie L  ","$5,672,000","29256",".260",".352",".333","77.3","178.4","8.22","Vg","34050",".638",".708","1","","","","","","Av/98","Av/98","Av/98","Fr","Av","Normal",".338",".359",  
"1B","McQuinn, George L  ","$5,667,000","16057",".252",".322",".384","75.2","44.6","10.9","Av","18142",".664",".724","3","","Vg/76","","","","","","","&nbsp;","Fr","Normal",".306",".329",  
"3B","Jones, Willie R  ","$5,662,000","16620",".242",".320",".370","71.6","42.2","9.71","Fr","18896",".721",".674","-1","","","","Av/74","","","","","&nbsp;","Fr","Normal",".327",".317",  
"LF, CF","Taylor, Danny R  ","$5,661,000","17565",".264",".345",".404","83.2","46.0","9.19","Vg","20049",".757",".745","-1","","","","","","Av/81","Fr/81","","Fr","Av","Normal",".348",".344",  
"SS","Templeton, Garry S  ","$5,654,000","22057",".254",".281",".331","51.5","193.5","28.1","Ex","23170",".615",".611","0","","","","","Ex/110","","","","&nbsp;","Vg","Prone",".283",".281",  
"C","Collins, Pat R  ","$5,650,000","10715",".230",".343",".360","76.8","30.7","6.85","Fr","12702",".708",".698","1","Av/109","","","","","","","","&nbsp;","Pr","Normal",".344",".341",  
"RF, LF, CF","Puhl, Terry L  ","$5,647,000","10631",".272",".341",".387","81.0","62.9","11.0","Vg","11964",".536",".775","3","","","","","","Av/33","Av/33","Av/33","Av","Vg","Prone",".270",".358",  
"1B","Aikens, Willie L  ","$5,637,000","10671",".262",".343",".435","86.1","24.1","9.27","Pr","12159",".636",".808","4","","Fr/114","","","","","","","&nbsp;","Pr","Normal",".289",".355",  
"1B, LF","Lind, Adam L  ","$5,636,000","14630",".270",".326",".414","78.1","36.0","12.8","Fr","16064",".560",".794","5","","Fr/108","","","","Av/19","","","Fr","Pr","Normal",".252",".347",  
"LF, RF","Greer, Rusty L  ","$5,635,000","14785",".273",".351",".382","82.3","79.5","9.31","Av","16782",".667",".767","1","","","","","","Av/128","","Av/128","Av","Fr","Prone",".330",".362",  
"1B","Loney, James L  ","$5,633,000","13498",".282",".331",".366","70.5","115.4","14.4","Fr","14689",".597",".730","2","","Vg/97","","","","","","","&nbsp;","Pr","Normal",".292",".344",  
"C","Clarke, Tommy R  ","$5,624,000","15571",".256",".341",".377","78.8","53.5","8.87","Av","17902",".763",".696","-1","Av/84","","","","","","","","&nbsp;","Fr","Normal",".354",".334",  
"C","Trouppe, Quincy S  ","$5,621,000","20874",".235",".300",".377","64.4","29.1","12.0","Pr","23152",".717",".649","-1","Vg/100","","","","","","","","&nbsp;","Pr","Normal",".316",".288",  
"1B, 2B, LF","Power, Vic R  ","$5,611,000","11611",".273",".295",".377","63.7","88.6","32.4","Av","12231",".721",".641","-1","","Ex/60","Av/122","","","Av/90","","","Av","Fr","Normal",".312",".284",  
"C, RF","Ferguson, Joe R  ","$5,603,000","8496",".223",".337",".380","77.5","28.3","6.86","Av","10074",".747",".702","-1","Vg/89","","","","","","","Av/157","Av","Fr","Prone",".346",".332",  
"3B, C, 1B, LF","Nevin, Phil R  ","$5,603,000","29319",".265",".332",".430","82.6","26.7","10.9","Fr","32690",".829",".723","-2","Av/97","Av/120","","Av/127","","Pr/140","","","Vg","Pr","Fragile",".355",".319",  
"1B, 3B, LF, RF","Carr, Tank S  ","$5,596,000","28667",".257",".313",".414","73.9","37.9","13.4","Vg","31336",".736",".722","0","","Av/100","","Fr/130","","Fr/130","","Fr/130","Fr","Vg","Normal",".314",".311",  
"CF, LF","Morgan, Nyjer L  ","$5,584,000","10645",".281",".342",".335","73.9","1774.2","13.7","Vg","11879",".573",".699","3","","","","","","Vg/74","Vg/74","","Av","Vg","Fragile",".291",".353",  
"1B","Casey, Sean L  ","$5,580,000","18370",".284",".336",".382","74.9","78.5","14.4","Fr","20052",".663",".741","1","","Av/66","","","","","","","&nbsp;","Pr","Prone",".316",".345",  
"C","Pena, Tony F R  ","$5,575,000","15540",".256",".302",".352","59.8","80.5","16.8","Av","16835",".701",".619","-2","Ex/73","","","","","","","","&nbsp;","Fr","Normal",".319",".290",  
"LF, CF, RF","White, Chaney R  ","$5,573,000","20978",".274",".332",".385","74.9","59.6","13.4","Vg","23145",".735",".709","-1","","","","","","Vg/95","Av/95","Vg/95","Pr","Av","Normal",".340",".328",  
"1B","Joyner, Wally L  ","$5,564,000","15932",".275",".338",".396","80.1","53.5","11.6","Av","17716",".607",".784","3","","Av/67","","","","","","","&nbsp;","Fr","Prone",".292",".356",  
"1B, 2B","McGann, Dan S  ","$5,563,000","18075",".256",".334",".370","74.9","57.4","13.1","Vg","20595",".689",".711","0","","Av/58","Pr/145","","","","","","&nbsp;","Vg","Normal",".331",".336",  
"CF","Bruton, Bill L  ","$5,556,000","17681",".260",".311",".348","65.4","124.5","15.0","Ex","19291",".608",".690","3","","","","","","","Vg/85","","Vg","Vg","Normal",".297",".321",  
"3B, LF","Howell, Jack L  ","$5,553,000","28240",".239",".317",".411","78.7","29.7","9.76","Fr","31811",".502",".758","5","","","","Av/84","","Fr/94","","","Av","Fr","Fragile",".238",".327",  
"3B, C","Inge, Brandon R  ","$5,545,000","16345",".226",".294",".350","60.3","45.2","11.9","Av","18173",".691",".610","-2","Ex/54","","","Ex/88","","","","","&nbsp;","Fr","Prone",".317",".277",  
"C, 1B","Tabuchi, Kouichi R  ","$5,539,000","11567",".231",".319",".368","69.4","28.8","10.2","Pr","13222",".696",".682","-1","Vg/75","Av/125","","","","","","","&nbsp;","Pr","Prone",".321",".318",  
"LF, RF","Sauer, Hank R  ","$5,531,000","27844",".246",".317",".447","83.6","19.3","11.0","Fr","31177",".793",".745","-1","","","","","","Av/120","","Av/120","Av","Pr","Prone",".325",".312",  
"SS, 3B","Crosetti, Frankie R  ","$5,528,000","42726",".228",".313",".333","62.7","61.7","10.2","Av","48754",".669",".633","1","","","","Av/96","Vg/100","","","","&nbsp;","Av","Normal",".322",".308",  
"CF","Pike, Lip L  ","$5,528,000","21791",".264",".324",".403","77.1","57.2","12.7","Vg","24088",".666",".764","1","","","","","","","Av/95","","Av","Av","Normal",".301",".336",  
"2B, 3B","Hill, Aaron R  ","$5,524,000","11552",".253",".313",".360","66.5","66.0","12.8","Vg","12783",".684",".668","0","","","Vg/72","Av/79","","","","","&nbsp;","Fr","Prone",".318",".311",  
"1B","Konerko, Paul R  ","$5,519,000","31175",".259",".331",".417","79.8","28.1","10.6","Pr","34992",".822",".696","-1","","Fr/74","","","","","","","&nbsp;","Pr","Normal",".356",".313",  
"CF, 1B, LF, RF","Alou, Matty L  ","$5,504,000","31689",".283",".322",".346","66.5","204.4","19.4","Vg","34048",".633",".686","2","","Av/158","","","","Av/83","Fr/83","Av/83","Av","Av","Normal",".307",".330",  
"RF, LF","Kielty, Bobby S  ","$5,502,000","27957",".254",".352",".384","82.0","44.9","7.63","Av","32670",".807",".625","-3","","","","","","Av/88","","Av/88","Av","Fr","Normal",".377",".312",  
"CF, 1B, LF","Mazzilli, Lee S  ","$5,498,000","21008",".249",".343",".361","78.3","53.7","8.12","Vg","24266",".652",".731","1","","Av/184","","","","Av/69","Fr/69","","Fr","Vg","Normal",".325",".352",  
"C, 1B, LF","Howard, Elston R  ","$5,496,000","10760",".265",".303",".392","66.8","43.6","20.4","Fr","11507",".773",".652","-2","Vg/65","Av/106","","","","Fr/111","","","Av","Pr","Prone",".331",".286",  
"RF, LF, CF","Marshall, Willard L  ","$5,470,000","21225",".261",".322",".391","73.9","41.4","12.2","Av","23443",".645",".746","1","","","","","","Av/98","Fr/98","Av/98","Ex","Pr","Normal",".294",".337",  
"RF","Seybold, Socks R  ","$5,468,000","17952",".277",".337",".432","85.2","40.2","12.5","Av","19946",".785",".761","-1","","","","","","","","Fr/82","Av","Av","Prone",".343",".334",  
"CF","Pettis, Gary S  ","$5,467,000","16670",".221",".314",".266","55.1","1852.2","8.49","Ex","19212",".563",".589","0","","","","","","","Ex/76","","Av","Ex","Normal",".310",".316",  
"3B","Johnson, Billy R  ","$5,463,000","18853",".255",".311",".368","64.6","58.9","14.0","Av","20729",".704",".665","-1","","","","Vg/93","","","","","&nbsp;","Pr","Normal",".325",".304",  
"RF, LF","Robinson, Floyd L  ","$5,460,000","18845",".278",".353",".395","86.6","61.6","10.0","Vg","21365",".628",".787","2","","","","","","Fr/99","","Fr/99","Av","Fr","Normal",".313",".366",  
"SS, 2B","Alley, Gene R  ","$5,448,000","25923",".239",".293",".337","56.5","76.7","14.7","Av","28300",".639",".622","0","","","Vg/89","","Vg/85","","","","&nbsp;","Fr","Prone",".295",".291",  
"SS","Greene, Khalil R  ","$5,448,000","20202",".242",".299",".385","66.5","40.5","14.4","Av","22088",".696",".674","0","","","","","Vg/98","","","","&nbsp;","Fr","Fragile",".307",".293",  
"RF, LF, CF","Ethier, Andre L  ","$5,446,000","15536",".275",".343",".414","84.2","47.1","11.1","Av","17341",".632",".803","4","","","","","","Av/95","Fr/95","Av/95","Fr","Fr","Prone",".299",".358",  
"RF, 1B, LF, CF","Swartwood, Ed L  ","$5,445,000","13871",".265",".346",".354","76.1","121.7","9.79","Ex","15755",".657",".722","1","","Av/143","","","","Av/118","Fr/118","Av/118","Av","Av","Normal",".333",".352",  
"RF, 3B, LF, CF","Smith, Al E R  ","$5,437,000","15159",".255",".332",".382","76.3","51.0","10.5","Vg","17163",".731",".703","-1","","","","Fr/149","","Av/133","Fr/133","Av/133","Av","Fr","Normal",".335",".329",  
"1B","Clark, Tony S  ","$5,435,000","43380",".247",".319",".420","77.0","24.9","10.4","Pr","48514",".739",".738","0","","Av/101","","","","","","","&nbsp;","Pr","Prone",".315",".321",  
"SS, 2B","Eckstein, David R  ","$5,429,000","24585",".267",".332",".310","64.3","910.6","15.1","Av","27573",".635",".647","0","","","Av/23","","Av/84","","","","&nbsp;","Fr","Prone",".330",".334",  
"3B","Nash, Billy R  ","$5,429,000","12913",".233",".322",".340","67.3","61.5","8.66","Av","14853",".690",".646","-1","","","","Vg/80","","","","","&nbsp;","Vg","Normal",".335",".316",  
"C","Battey, Earl R  ","$5,428,000","12469",".257",".327",".365","69.9","63.3","11.2","Fr","14005",".679",".697","0","Vg/90","","","","","","","","&nbsp;","Pr","Prone",".328",".326",  
"CF, SS, LF, RF","Flagstead, Ira R  ","$5,428,000","10470",".246",".323",".359","69.7","58.5","10.7","Vg","11822",".719",".663","-1","","","","","Fr/171","Vg/79","Vg/79","Vg/79","Vg","Av","Prone",".337",".315",  
"C","Nomura, Katsuya R  ","$5,425,000","27499",".239",".312",".355","64.0","37.3","11.3","Fr","30764",".692",".650","-1","Vg/130","","","","","","","","&nbsp;","Fr","Iron",".317",".308",  
"SS, 2B","Ryan, Brendan R  ","$5,425,000","12313",".234",".295",".292","51.8","586.3","13.6","Vg","13628",".636",".556","-1","","","Vg/197","","Ex/84","","","","&nbsp;","Av","Prone",".314",".283",  
"CF, RF","Rice, Harry L  ","$5,424,000","18816",".264",".330",".360","71.2","72.4","11.5","Vg","21082",".672",".699","-1","","","","","","","Av/105","Vg/105","Vg","Av","Normal",".329",".331",  
"LF, 1B","Duncan, Chris L  ","$5,418,000","28183",".249",".337",".423","85.5","24.8","8.53","Fr","32290",".711",".781","4","","Av/113","","","","Fr/191","","","Av","Pr","Prone",".316",".346",  
"1B, LF, CF, RF","Durham, Leon L  ","$5,418,000","14469",".259",".326",".435","85.5","27.8","11.0","Av","16112",".627",".794","2","","Fr/79","","","","Av/147","Fr/147","Av/147","Av","Av","Prone",".276",".338",  
"2B, 3B","Serrell, Bonnie L  ","$5,396,000","19676",".259",".303",".341","60.4","99.9","18.4","Av","21451",".606",".663","1","","","Vg/83","Fr/87","","","","","&nbsp;","Av","Normal",".286",".311",  
"2B, 3B, SS","Louden, Baldy R  ","$5,394,000","15577",".232",".323",".326","68.0","52.6","8.99","Av","18121",".692",".625","-1","","","Vg/76","Vg/112","Av/97","","","","&nbsp;","Vg","Normal",".337",".315",  
"SS","Carrasquel, Chico R  ","$5,390,000","16158",".242",".304",".313","56.5","109.2","12.7","Av","17953",".624",".614","-1","","","","","Vg/81","","","","&nbsp;","Fr","Normal",".312",".300",  
"LF, CF","White, Rondell R  ","$5,382,000","10371",".273",".325",".408","76.3","43.8","16.0","Av","11314",".765",".714","-1","","","","","","Vg/71","Av/71","","Av","Av","Fragile",".340",".316",  
"C","Lollar, Sherm R  ","$5,372,000","10936",".246",".324",".361","69.6","46.9","11.4","Pr","12394",".695",".680","0","Vg/61","","","","","","","","&nbsp;","Pr","Prone",".330",".321",  
"3B","Castilla, Vinny R  ","$5,371,000","24511",".249",".291",".400","64.9","29.1","18.7","Av","26261",".738",".663","-1","","","","Av/73","","","","","&nbsp;","Fr","Normal",".308",".280",  
"SS","Wright, Glenn R  ","$5,369,000","23501",".250",".292",".391","65.1","37.0","17.7","Av","25306",".757",".639","-3","","","","","Vg/112","","","","&nbsp;","Fr","Normal",".317",".277",  
"CF, RF","Welsh, Jimmy L  ","$5,364,000","13899",".256",".310",".372","67.1","59.9","16.9","Vg","15274",".663",".691","1","","","","","","","Vg/93","Vg/93","Av","Fr","Normal",".304",".313",  
"3B, 1B, 2B, SS","Dykes, Jimmy R  ","$5,358,000","14514",".246",".319",".365","69.2","54.6","11.4","Av","16384",".740",".652","-1","","Av/108","Vg/99","Av/102","Fr/113","","","","&nbsp;","Fr","Normal",".338",".309",  
"1B","Solaita, Tony L  ","$5,349,000","17193",".242",".339",".406","85.0","25.6","7.79","Pr","19946",".711",".760","2","","Av/81","","","","","","","&nbsp;","Pr","Normal",".321",".347",  
"CF, LF, RF","Jones, Ruppert L  ","$5,338,000","5737",".236",".315",".358","69.1","51.7","9.93","Vg","6462",".578",".722","3","","","","","","Vg/66","Vg/66","Vg/66","Av","Vg","Prone",".277",".335",  
"SS, SP, 2B, CF, RF","Ward, Monte L  ","$5,338,000","10724",".254",".305",".320","58.3","129.2","15.1","Av","11671",".588",".644","1","","","Av/116","","Av/95","","Av/108","Av/108","Av","Ex","Iron",".292",".311",  
"CF, LF","Chapman, Sam R  ","$5,318,000","31927",".242",".302",".400","69.6","28.8","12.9","Av","35218",".723",".691","0","","","","","","Vg/112","Vg/112","","Vg","Fr","Normal",".311",".297",  
"CF, 3B, LF, RF","Estalella, Bobby R  ","$5,316,000","14420",".261",".347",".403","81.5","40.7","8.66","Av","16479",".819",".711","-2","","","","Fr/119","","Av/71","Fr/71","Av/71","Av","Fr","Normal",".368",".335",  
"CF, LF, RF","Becker, Rich S  ","$5,309,000","15976",".248",".347",".336","73.8","95.1","7.61","Av","18604",".494",".721","6","","","","","","Vg/104","Av/104","Vg/104","Av","Av","Normal",".268",".362",  
"2B, 3B, SS","Counsell, Craig L  ","$5,308,000","8968",".234",".308",".272","52.8","1793.6","10.7","Vg","10204",".560",".589","1","","","Vg/52","Vg/45","Av/70","","","","&nbsp;","Av","Prone",".299",".312",  
"SS, 2B, RF","Keister, Bill L  ","$5,306,000","22432",".268",".310",".403","73.5","57.2","21.6","Av","24157",".668",".734","1","","","Fr/107","","Fr/136","","","Fr/123","Av","Vg","Normal",".294",".317",  
"1B, LF","Katou, Hideji L  ","$5,305,000","11218",".260",".329",".384","77.3","48.4","11.5","Vg","12569",".648",".741","1","","Av/115","","","","Fr/115","","","Fr","Fr","Normal",".307",".338",  
"LF, CF","Jones, Charley R  ","$5,304,000","23486",".266",".329",".416","80.6","43.1","12.5","Ex","26122",".779",".727","-1","","","","","","Av/85","Av/85","","Fr","Pr","Normal",".347",".319",  
"CF, RF","Kotsay, Mark L  ","$5,304,000","9546",".275",".331",".371","72.8","103.8","12.7","Av","10549",".672",".713","1","","","","","","","Av/71","Vg/71","Av","Fr","Fragile",".316",".336",  
"1B","Stuart, Dick R  ","$5,304,000","28300",".245",".299",".442","75.1","20.6","14.1","Fr","30879",".793",".708","-1","","Fr/183","","","","","","","&nbsp;","Pr","Normal",".314",".291",  
"LF","Wakefield, Dick L  ","$5,304,000","14880",".263",".353",".395","84.1","42.8","8.29","Av","17112",".737",".754","3","","","","","","Av/176","","","Fr","Fr","Normal",".348",".355",  
"1B, LF, CF, RF","Hopp, Johnny L  ","$5,302,000","14215",".279",".335",".389","79.5","83.6","13.1","Vg","15680",".565",".771","2","","Av/140","","","","Av/66","Fr/66","Av/66","Pr","Av","Normal",".281",".350",  
"LF, CF, RF","Walker, Tilly R  ","$5,297,000","15610",".252",".305",".399","71.3","36.0","14.2","Vg","17122",".735",".686","-1","","","","","","Vg/125","Av/125","Vg/125","Vg","Av","Normal",".315",".300",  
"3B","Smith, Red R  ","$5,294,000","19803",".264",".343",".383","79.7","52.8","9.74","Av","22783",".753",".712","-1","","","","Av/113","","","","","&nbsp;","Av","Normal",".353",".338",  
"1B","Torgeson, Earl L  ","$5,292,000","25353",".250",".361",".384","87.8","42.3","6.84","Vg","30178",".667",".781","3","","Av/117","","","","","","","&nbsp;","Av","Prone",".335",".373",  
"2B, 3B, SS","Stirnweiss, Snuffy R  ","$5,287,000","9228",".240",".318",".332","65.0","106.1","9.93","Vg","10490",".688",".631","-2","","","Av/71","Av/60","Fr/138","","","","&nbsp;","Av","Normal",".336",".308",  
"2B","Wills, Bump S  ","$5,284,000","26841",".253",".323",".334","68.5","113.7","11.0","Ex","30374",".624",".675","0","","","Av/100","","","","","","&nbsp;","Ex","Normal",".311",".330",  
"LF, CF","Bradley, Phil R  ","$5,276,000","22102",".276",".354",".383","82.0","82.5","10.3","Vg","25076",".726",".745","-1","","","","","","Fr/63","Fr/63","","Av","Vg","Normal",".349",".357",  
"2B, 3B, LF","Ready, Randy R  ","$5,274,000","19174",".249",".348",".364","79.8","68.0","7.71","Av","22391",".764",".686","-1","","","Av/112","Av/115","","Fr/103","","","Av","Fr","Prone",".367",".339",  
"3B, 2B, SS, CF","Hall, Bill R  ","$5,270,000","18419",".245",".306",".387","68.4","42.2","12.4","Vg","20276",".723",".676","-1","","","Av/221","Vg/117","Av/131","","Av/181","","Av","Av","Normal",".316",".301",  
"SS","Scott, Everett R  ","$5,268,000","16484",".228",".257",".313","43.8","69.6","28.7","Av","17699",".612",".548","-1","","","","","Ex/58","","","","&nbsp;","Av","Iron",".273",".248",  
"RF, LF","Boone, Ike L  ","$5,261,000","26165",".271",".339",".422","84.7","32.0","10.6","Av","29195",".733",".775","1","","","","","","Fr/122","","Fr/122","Fr","Pr","Normal",".331",".343",  
"SS","Myers, Billy R  ","$5,260,000","19139",".239",".315",".363","70.2","41.0","10.2","Av","21629",".719",".656","-1","","","","","Av/105","","","","&nbsp;","Fr","Normal",".328",".308",  
"2B, 3B","Sanchez, Freddy R  ","$5,259,000","4809",".274",".311",".345","62.9","229.0","20.7","Av","5158",".691",".640","-3","","","Fr/62","Vg/45","","","","","&nbsp;","Pr","Fragile",".324",".305",  
"SS, 3B","Hansen, Ron R  ","$5,258,000","10746",".232",".311",".335","60.5","59.0","9.85","Av","12167",".679",".623","-1","","","","Av/125","Vg/86","","","","&nbsp;","Pr","Normal",".323",".303",  
"2B","Andrews, Mike R  ","$5,255,000","34979",".252",".344",".353","77.4","60.8","8.16","Av","40628",".690",".701","0","","","Av/126","","","","","","&nbsp;","Fr","Normal",".347",".343",  
"LF, RF","Matthews, Gary Sr R  ","$5,254,000","22124",".266",".345",".410","85.0","37.8","9.33","Av","25082",".807",".727","-2","","","","","","Fr/144","","Fr/144","Av","Av","Normal",".361",".336",  
"SS","McKean, Ed R  ","$5,247,000","26041",".262",".315",".370","68.2","80.4","13.8","Ex","28474",".719",".667","-1","","","","","Fr/97","","","","&nbsp;","Vg","Iron",".327",".309",  
"3B, 2B","Castino, John R  ","$5,240,000","7221",".263",".318",".357","67.6","98.9","13.7","Fr","7965",".710",".663","-1","","","Vg/46","Vg/69","","","","","&nbsp;","Fr","Fragile",".334",".313",  
"C","Roseboro, Johnny L  ","$5,233,000","10680",".244",".313",".362","69.2","55.1","11.4","Av","11936",".553",".714","3","Ex/85","","","","","","","","&nbsp;","Fr","Normal",".266",".328",  
"2B, 1B","Murphy, Daniel T L  ","$5,232,000","22029",".285",".328",".399","76.3","75.7","16.1","Av","23732",".653",".760","2","","Vg/145","Fr/134","","","","","","&nbsp;","Fr","Prone",".301",".340",  
"3B, SS","Werber, Billy R  ","$5,232,000","16996",".235",".318",".347","67.2","58.8","9.72","Ex","19393",".668",".663","0","","","","Vg/102","Fr/170","","","","&nbsp;","Vg","Prone",".320",".317",  
"2B, 3B","Garner, Phil R  ","$5,229,000","18109",".249",".313",".372","69.3","63.1","12.0","Vg","20123",".663",".695","0","","","Vg/117","Vg/102","","","","","&nbsp;","Vg","Normal",".306",".316",  
"LF, 1B, RF","Cromartie, Warren L  ","$5,224,000","11264",".263",".313",".364","65.4","96.3","15.4","Av","12242",".597",".702","2","","Av/109","","","","Vg/108","","Vg/108","Vg","Fr","Normal",".278",".323",  
"CF, LF, RF","Cramer, Doc L  ","$5,221,000","16745",".265",".298",".327","55.6","212.0","24.6","Vg","17999",".570",".654","3","","","","","","Vg/75","Vg/75","Vg/75","Vg","Fr","Normal",".276",".310",  
"CF, LF, RF","Shotton, Burt L  ","$5,219,000","9467",".255",".342",".349","73.2","66.2","8.51","Av","10829",".649",".713","1","","","","","","Vg/138","Av/138","Vg/138","Av","Vg","Normal",".326",".350",  
